norm_title,critics_consensus,tomatometer_rating
electric boogaloo the wild untold story of cannon films,"Electric Boogaloo: The Wild, Untold Story of Cannon Films pays tribute to the titular studio with an affectionate look back that's arguably more entertaining than much of Cannon's own B-movie product.",91.0
childs play,"Child's Play updates an '80s horror icon for the Internet of Things era, with predictably gruesome -- and generally entertaining -- results.",63.0
top hat,"A glamorous and enthralling Depression-era diversion, Top Hat is nearly flawless, with acrobatics by Fred Astaire and Ginger Rogers that make the hardest physical stunts seem light as air.",100.0
the loss of a teardrop diamond,"Stodgy and dispiritingly old-fashioned, Teardrop Diamond proves to be no big loss.",27.0
the twilight saga new moon,"The Twilight Saga's second installment may satisfy hardcore fans of the series, but outsiders are likely to be turned off by its slow pace, relentlessly downcast tone, and excessive length.",28.0
running scared,"This film runs with frenetic energy punctuated by gratuitous violence but sorely lacks in plot, character development and stylistic flair.",41.0
nosferatu a symphony of horror nosferatu eine symphonie des grauens nosferatu the vampire,"One of the silent era's most influential masterpieces, Nosferatu's eerie, gothic feel -- and a chilling performance from Max Schreck as the vampire -- set the template for the horror films that followed.",97.0
oss 117 le caire nid despions oss 117 cairo nest of spies,This clever spy spoof plays politics and movie conventions for laughs and features a great turn by Jen Dujardin as a smarmy-suave nouveau-Bond.,77.0
coco before chanel,"Though it doesn't quite capture the complexity of its subject's life, Coco Avant Chanel remains a fascinating, appropriately lovely tribute.",64.0
a fantastic woman una mujer fantástica,"Subtle and tender, A Fantastic Woman handles its timely, sensitive subject matter with care.",94.0
into the arms of strangers stories of the kindertransport,"Although it appears to be nothing more than a ""talking heads"" documentary you may see on TV, Into the Arms of Strangers, nonetheless, tells a heart-wrenching story.",91.0
their finest,"Carried along by a winning performance from Gemma Arterton, Their Finest smoothly combines comedy and wartime drama to crowd-pleasing effect.",90.0
the willoughbys,"An appealing animated adventure whose silliness is anchored in genuine emotion, The Willoughbys offers fanciful fun the entire family can enjoy.",90.0
southside with you,"Southside With You looks back on a fateful real-life date with strong performances and engaging dialogue, adding up to a romance that makes for a pretty good date movie in its own right.",92.0
get santa,"With a bombastic performance from Jim Broadbent, Get Santa brilliantly captures the joys of the Christmas holiday.",79.0
rules dont apply,"With Rules Don't Apply, Warren Beatty takes an overall affable -- but undeniably slight -- look at a corner of old Hollywood under Howard Hughes' distinctive shadow.",54.0
slay the dragon,Slay the Dragon takes a suitably outraged -- but ultimately optimistic -- look at modern-day gerrymandering that doubles as a heartfelt call to action.,100.0
deuce bigalow european gigolo,"A witless follow-up to the surprise 1999 hit, Deuce Bigalow: European Gigolo is raunchy, politically incorrect, and not particularly funny.",9.0
rebel without a cause,"Rebel Without a Cause is a searing melodrama featuring keen insight into '50s juvenile attitude and James Dean's cool, iconic performance.",94.0
pixels,"Much like the worst arcade games from the era that inspired it, Pixels has little replay value and is hardly worth a quarter.",17.0
pacific rim uprising,"Pacific Rim Uprising won't win any points for subtlety or originality, but it delivers enough of the rock 'em-sock 'em robots-vs.-kaiju thrills that fans of the original will be looking for.",43.0
handsome harry,Handsome Harry offers more than enough of a satisfying actors' showcase for its impressively stocked cast to overcome a handful of storytelling struggles.,81.0
diablo,Diablo has neither the intelligence nor the originality to compete with the revisionist latter-day Westerns it owes obvious debts to.,19.0
bewitched,Bewitched is haunted by scattered laughs and a lack of direction.,25.0
why we fight,A provocative and timely film that explores the military/industrial complex and the motivating forces that lead us to war.,78.0
hot shots part deux,"Audiences who enjoyed the first Hot Shots! will probably be tickled by this second helping, although the barrage of laughs miss more than they hit this time around.",57.0
the worlds end,"Madcap and heartfelt, Edgar Wright's apocalypse comedy The World's End benefits from the typically hilarious Simon Pegg and Nick Frost, with a plethora of supporting players.",89.0
mandela long walk to freedom,"It might be too respectful to truly soar, but there's no denying Idris Elba's impressive work in Mandela: Long Walk to Freedom -- or the inspirational power of the life it depicts.",61.0
avatar,"It might be more impressive on a technical level than as a piece of storytelling, but Avatar reaffirms James Cameron's singular gift for imaginative, absorbing filmmaking.",82.0
the other side of heaven,"The Other Side of Heaven preaches to the converted; others will likely consider it simplistic, even offensive, propaganda.",30.0
grind,Mediocre skateboard stunts are padded by a half-baked plot and one-dimensional characters.,8.0
dirty love,The laugh-free Dirty Love is a comedy dead zone -- it's aggressively crude and shoddily constructed.,6.0
red road,Red Road director Andrea Arnold skillfully parses out just enough plot details at a time to keep the audience engrossed in this seductive thriller.,88.0
the thirteenth floor,Bad script and confusing plot undermine the movie's impressive visuals.,30.0
surfwise,An intriguing account of a unique family.,98.0
in the cut,"Director/co-writer Jane Campion takes a stab at subverting the psycho-sexual thriller genre with In the Cut, but gets tangled in her own abstraction.",32.0
rosencrantz and guildenstern are dead,"Rosencrantz and Guildenstern Are Dead struggles in its journey from stage to screen, but a well-chosen trio of veteran talents keep things consistently watchable.",60.0
paranormal activity the marked ones,"A change of setting breathes some new life into the franchise, but Paranormal Activity: The Marked Ones fails to provide enough consistent thrills to justify a fifth film in the series.",39.0
edge of seventeen,"A time capsule assembled with honesty and sensitivity, Edge of Seventeen overcomes youthful fumbles to capture a time of life -- and an era.",78.0
invictus,"Delivered with typically stately precision by director Clint Eastwood, Invictus may not be rousing enough for some viewers, but Matt Damon and Morgan Freeman inhabit their real-life characters with admirable conviction.",77.0
fiddler on the roof,"A bird may love a fish -- and musical fans will love this adaptation of Fiddler on the Roof, even if it isn't quite as transcendent as the long-running stage version.",83.0
witless protection,"Larry the Cable Guy continues his critical losing streak with this insipid, tasteless caper comedy.",4.0
i used to go here,"Elevated significantly by Gillian Jacobs' central performance, I Used to Go Here tells a familiar story with considerable charm.",85.0
zombieland double tap,Zombieland: Double Tap makes up for a lack of fresh brains with an enjoyable reunion that recaptures the spirit of the original and adds a few fun twists.,68.0
superman iv the quest for peace,"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.",11.0
what they had,"What They Had finds laughter and tears in its portrait of a family at a crossroads, with writer-director Elizabeth Chomko getting outstanding performances out of a talented cast.",86.0
the devil inside,"The Devil Inside is a cheap, choppy unscary mess, featuring one of the worst endings in recent memory.",6.0
